epoch,loss,mse,val_loss,val_mse
0,1.0109270811080933,1.0109270811080933,1.0145481824874878,1.0145481824874878
1,1.010001540184021,1.010001540184021,1.0145481824874878,1.0145481824874878
2,1.0099802017211914,1.0099802017211914,1.0145481824874878,1.0145481824874878
3,1.009943962097168,1.009943962097168,1.0145481824874878,1.0145481824874878
4,1.009979009628296,1.009979009628296,1.0145481824874878,1.0145481824874878
5,1.0099787712097168,1.0099787712097168,1.0145481824874878,1.0145481824874878
6,1.0099893808364868,1.0099893808364868,1.0145481824874878,1.0145481824874878
7,1.009979248046875,1.009979248046875,1.0145481824874878,1.0145481824874878
8,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
9,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
10,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
11,1.0099802017211914,1.0099802017211914,1.0145481824874878,1.0145481824874878
12,1.0099791288375854,1.0099791288375854,1.0145481824874878,1.0145481824874878
13,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
14,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
15,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
16,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
17,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
18,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
19,1.0099799633026123,1.0099799633026123,1.0145481824874878,1.0145481824874878
20,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
21,1.0099786520004272,1.0099786520004272,1.0145481824874878,1.0145481824874878
22,1.0099800825119019,1.0099800825119019,1.0145481824874878,1.0145481824874878
23,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
24,1.0099802017211914,1.0099802017211914,1.0145481824874878,1.0145481824874878
25,1.0099802017211914,1.0099802017211914,1.0145481824874878,1.0145481824874878
26,1.0099798440933228,1.0099798440933228,1.0145481824874878,1.0145481824874878
27,1.009979486465454,1.009979486465454,1.0145481824874878,1.0145481824874878
28,1.0099791288375854,1.0099791288375854,1.0145481824874878,1.0145481824874878
29,1.0099797248840332,1.0099797248840332,1.0145481824874878,1.0145481824874878
30,1.0099788904190063,1.0099788904190063,1.0145481824874878,1.0145481824874878
31,1.00998055934906,1.00998055934906,1.0145481824874878,1.0145481824874878
32,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
33,1.0099799633026123,1.0099799633026123,1.0145481824874878,1.0145481824874878
34,1.0099800825119019,1.0099800825119019,1.0145481824874878,1.0145481824874878
35,1.009980320930481,1.009980320930481,1.0145481824874878,1.0145481824874878
36,1.0099793672561646,1.0099793672561646,1.0145481824874878,1.0145481824874878
37,1.0099798440933228,1.0099798440933228,1.0145481824874878,1.0145481824874878
38,1.0099791288375854,1.0099791288375854,1.0145481824874878,1.0145481824874878
39,1.009979009628296,1.009979009628296,1.0145481824874878,1.0145481824874878
40,1.0099796056747437,1.0099796056747437,1.0145481824874878,1.0145481824874878
41,1.0099799633026123,1.0099799633026123,1.0145481824874878,1.0145481824874878
42,1.0099788904190063,1.0099788904190063,1.0145481824874878,1.0145481824874878
43,1.009979486465454,1.009979486465454,1.0145481824874878,1.0145481824874878
44,1.0099796056747437,1.0099796056747437,1.0145481824874878,1.0145481824874878
45,1.009979486465454,1.009979486465454,1.0145481824874878,1.0145481824874878
46,1.0099800825119019,1.0099800825119019,1.0145481824874878,1.0145481824874878
47,1.0099804401397705,1.0099804401397705,1.0145481824874878,1.0145481824874878
